Kategori,No,Pernyataan,"1 (Sangat Tidak Suka)","2 (Tidak Suka)","3 (Biasa Saja)","4 (Suka)","5 (Sangat Suka)","Komentar Kamu"
"Keseruan Bermain",1.1,"Aku merasa senang dan tidak bosan saat bermain game BoardWise.",,,,,,""
"Keseruan Bermain",1.2,"Menjawab soal kuis di dalam game ini terasa seru dan menantang.",,,,,,""
"Keseruan Bermain",1.3,"Aku jadi semangat untuk bersaing dengan teman-temanku sampai ke garis finis.",,,,,,""
"Mudah Dimainkan",2.1,"Cara memainkan game ini (melempar dadu, menjalankan pion) gampang aku mengerti.",,,,,,""
"Mudah Dimainkan",2.2,"Tombol-tombol yang ada di layar permainan mudah untuk ditekan.",,,,,,""
"Mudah Dimainkan",2.3,"Aku tidak bingung saat harus menjawab pertanyaan atau melihat info yang muncul di layar.",,,,,,""
"Manfaat Belajar",3.1,"Aku merasa jadi lebih paham pelajaran setelah memainkan game ini.",,,,,,""
"Manfaat Belajar",3.2,"Gambar-gambar yang ada di kuis dan info sangat membantuku untuk mengerti.",,,,,,""
"Manfaat Belajar",3.3,"Aku langsung tahu jawabanku benar atau salah, jadi aku bisa belajar dari kesalahan.",,,,,,""
"Tampilan Permainan",4.1,"Tampilan papan permainan, pion, dan warnanya terlihat keren dan menarik.",,,,,,""
"Tampilan Permainan",4.2,"Gerakan dadu dan pionnya membuat permainan terasa lebih hidup.",,,,,,""
"Saran Darimu (Isi di kolom Komentar ya!)",5.1,"Bagian mana dari permainan ini yang paling kamu suka?",,,,,,""
"Saran Darimu (Isi di kolom Komentar ya!)",5.2,"Menurutmu, apa yang bisa ditambahkan agar game ini jadi lebih asyik lagi?",,,,,,""
"Saran Darimu (Isi di kolom Komentar ya!)",5.3,"Apakah ada bagian yang membuatmu bingung atau sulit saat bermain? Ceritakan dong!",,,,,,""
